accuracy,val_accuracy,loss,val_loss
17.215848452508006,17.80169971671388,2.4166372606678936,2.334492074044718
19.99399679829242,20.951841359773372,2.295208629451626,2.266137767843804
22.14514407684098,22.93484419263456,2.2491516111350296,2.228501064378575
23.779348986125935,24.430594900849858,2.2128773974040388,2.195568414210529
24.80322838847385,25.55240793201133,2.181573477074548,2.1666702494785595
26.133938100320172,27.8300283286119,2.152274437452871,2.1382427565889417
27.808164354322304,28.861189801699716,2.124072606624824,2.1119599165243206
28.90541622198506,29.80169971671388,2.099695066588882,2.0909683395341356
29.64247598719317,29.88101983002833,2.078713848166431,2.0715456128846395
30.07937566702241,30.26628895184136,2.0604771536459743,2.054172312707878
30.409551760939166,30.96883852691218,2.0447816422616256,2.038898860134987
31.086579509071505,31.127478753541077,2.029732765110813,2.024698720224771
31.590181430096052,31.807365439093484,2.0165428942527734,2.011945021362508
32.19383671291355,32.13597733711048,2.004115039469204,2.00176809491536
32.64407684098186,32.67988668555241,1.992532416478816,1.9904746378831697
33.02427961579509,32.804532577903686,1.9815651112961328,1.979924202916724
33.29775880469584,32.84985835694051,1.9726276957708717,1.9716496087449737
33.64794557097118,33.3371104815864,1.9632801347634894,1.9634992628049106
33.62126467449306,33.48441926345609,1.955398445827484,1.9585057967584203
34.14821237993596,33.93767705382436,1.9481939779729498,1.9508859096181788
34.12486659551761,34.81019830028329,1.9408471280630695,1.9447960965179185
34.56843649946638,34.86685552407932,1.934388080871773,1.938156321735983
34.99199573105656,34.98016997167139,1.9277653687411815,1.9326252472744458
35.005336179295625,35.422096317280456,1.9220587582771924,1.9271391576923877
35.298826040554964,35.342776203966004,1.9163414474402987,1.9241173752796745
35.432230522945574,35.68271954674221,1.911308650182861,1.918399576094018
35.54228922091782,35.728045325779036,1.9057695946320652,1.9143453416193477
35.68569903948773,35.53541076487252,1.9009207080749677,1.9098948453503635
35.77241195304162,36.022662889518415,1.8964749182184104,1.905384085796938
35.859124866595515,35.89801699716714,1.8915294343083158,1.9016883220112126
36.15594983991462,36.022662889518415,1.8873858822310474,1.8991819955869558
36.109258271077906,36.124645892351275,1.8827344386268874,1.8954646099732648
36.36272678762006,36.18130311614731,1.8791286780328695,1.8914364827354002
36.62953575240128,36.13597733711048,1.8748509216579645,1.8875174879441787
36.64954642475987,36.06798866855524,1.8704502681899993,1.8858137415315248
36.786286019210245,36.53257790368272,1.8668842309348102,1.880910756547372
36.919690501600854,36.54390934844193,1.8630245805826295,1.8791567255160033
37.07310565635005,36.29461756373938,1.8591820143467668,1.875386996265786
37.17649413020278,36.713881019830026,1.8555090485867485,1.8721227228185797
37.236526147278546,37.01983002832861,1.8520450860718058,1.8674498536071882
37.60005336179296,37.03116147308782,1.8479302911545938,1.8672561398309242
37.369930629669156,37.110481586402265,1.8449868589433316,1.8633049167873184
37.65675026680896,37.37110481586402,1.8411929910100768,1.8614004545418836
37.64007470651014,37.07648725212464,1.8375580910957197,1.8575483456269446
37.753468516542156,37.29178470254958,1.834285525695561,1.853445918130257
37.8935432230523,37.39376770538244,1.8309782508693613,1.8500898092518505
37.99359658484525,37.507082152974505,1.8272822823215196,1.8468002447958305
38.130336179295625,37.552407932011334,1.824025213590896,1.8473758901651023
38.213713980789755,37.461756373937675,1.8211023216802833,1.843580624005294
38.18369797225187,37.813031161473084,1.8182314376656923,1.8399050470380132
