accuracy,val_accuracy,loss,val_loss
33.53788687299893,26.42120765832106,2.1658202769789394,2.364599661546595
38.023612593383135,40.50810014727541,1.9581335656416454,1.849343535339131
42.02241195304162,45.41973490427099,1.7868340456880143,1.7206605417588179
44.63380469583778,44.27098674521355,1.653679950069338,1.8148500229330624
46.988393810032015,43.64506627393225,1.5446548650206218,1.6583240189271815
49.069503735325505,33.18114874815906,1.4497284773765022,2.0244071686969085
50.37686766275347,47.56259204712813,1.3760084432560709,1.448882132698508
52.24786552828175,49.1899852724595,1.2993592358449735,1.5411346504968755
53.24839914621131,51.28129602356407,1.25172110151583,1.449242204918581
54.46905016008538,54.455081001472756,1.1964275553870227,1.3655732149236341
