epoch,time,accuracy,val_accuracy,loss,val_loss
1,52.15817880630493,8.810240963855422,23.065936681742443,3.4469280142381966,2.9831930037700767
2,47.57795476913452,31.711219879518072,41.394905974767916,2.544054763144757,2.248555951046221
3,47.77617907524109,47.54329819277108,50.13092120923589,1.9096187694245075,1.8034356073899702
4,47.813227891922,57.779555722891565,56.081885265413,1.4735868469060185,1.6190934289585461
5,50.129802942276,65.09318524096386,58.84313258747917,1.1542749435427677,1.4831842933640336
6,54.27211904525757,71.55496987951807,64.15139252558915,0.8784858519772449,1.3284685927810091
7,56.865535259246826,76.74134036144578,65.9842894548917,0.6631235544042415,1.3036577114553163
8,57.487135887145996,82.26185993975903,68.74553677695786,0.4755040567861982,1.251955630201282
9,57.50623679161072,87.15643825301204,69.45965246369911,0.3371761579021632,1.2682072827310273
10,55.98164391517639,90.26731927710843,68.74553677695786,0.25535927017230586,1.4008912308649584
11,55.14523911476135,92.98286897590361,69.1263984765532,0.19054799558347965,1.3872824419628491
12,53.817474126815796,95.27955572289157,71.24494168055224,0.1280275849872325,1.417462517817815
13,52.98412489891052,96.80911144578313,70.64984527493453,0.09011295332337718,1.4968562406120878
14,52.10811185836792,97.65625,71.69721494882171,0.06775797810124974,1.4947110920241384
15,52.24040389060974,97.9480421686747,72.60176148536063,0.06152037221584918,1.4895857220346278
