epoch,time,accuracy,val_accuracy,loss,val_loss
1,25.564855098724365,3.175080128205128,5.2744392559136495,3.483561858916894,3.692810566326225
2,20.79494881629944,6.620592948717949,0.9492459618770573,3.3616509987757754,9.980252574883346
3,20.490458011627197,7.3016826923076925,0.9492459618770573,3.2627643075508947,13.428493666473985
4,20.42233896255493,8.102964743589743,0.38276046849881346,3.1990830348088193,32.09510030956315
5,20.41762399673462,8.59375,0.6736584245579117,3.1460001720831943,8.017412358216376
6,20.912798404693604,9.795673076923077,5.037127765444385,3.095688223456725,13.161553892354801
7,20.429189920425415,10.827323717948717,3.330016075939677,3.04049804348212,12.5277701182004
8,20.31495499610901,11.748798076923077,1.423868942815586,3.0017936596503625,47.18786831881423
9,20.270729780197144,12.149439102564102,1.423868942815586,2.973067668768076,40.48920847792497
10,20.69425082206726,13.020833333333334,0.6736584245579117,2.930538575618695,102.5203870013174
