epoch,time,accuracy,val_accuracy,loss,val_loss
1,86.33223509788513,8.303614603481625,0.6736584245579117,3.2568146172529033,39.34618129545045
2,76.7951009273529,12.642045454545455,0.9186251243971523,3.0018030647152396,41.65347901131343
3,76.7462809085846,14.76517166344294,3.383602541529511,2.8923101452840365,7.116066659538491
4,85.26305484771729,15.702067214700193,7.7317614636760315,2.816428379579024,19.39544618476942
5,87.06034398078918,16.85505319148936,1.3320064303758707,2.749216106920224,29.56178696641644
6,85.17617702484131,17.63630319148936,1.423868942815586,2.686322393454251,181.4882172519721
7,82.0738468170166,18.3843085106383,7.739416673046008,2.6325862516056406,192.94473014757472
8,82.48214721679688,19.405826885880078,7.7317614636760315,2.5853625003327716,86.44057916437538
9,87.51562213897705,20.398633945841393,0.7195896807777693,2.539690218764993,80.22467463224837
10,86.77697205543518,21.837221953578336,2.258286764142999,2.4850635012067723,19.690061754393348
