epoch,time,accuracy,val_accuracy,loss,val_loss
1,48.668296098709106,8.829066265060241,21.590097595810523,3.456825396382665,2.952023061839017
2,47.33053803443909,31.07586596385542,33.58724113306356,2.5957883384572455,2.2957107623418174
3,47.531410932540894,44.09356174698795,50.892644608426565,2.0913623747337295,1.9558889071146648
4,48.04722213745117,52.39081325301205,52.34467983813378,1.7283615360417999,1.7994140964565855
5,53.4606819152832,58.909073795180724,55.32016186622233,1.4315230167773834,1.5784016468308188
6,52.688453912734985,64.32605421686748,59.319209711973336,1.1903644556022552,1.4735429079243632
7,51.36518597602844,68.63704819277109,63.580099976196145,0.9919009302035872,1.3190627206455579
8,57.75448989868164,72.69860692771084,67.53154010949774,0.8073294943714716,1.2475680925629355
9,59.357014894485474,77.27786144578313,71.45917638657463,0.6364180043519262,1.130353692354578
10,60.59843993186951,82.77484939759036,71.79243037372055,0.44564097188413143,1.193952177510117
11,60.174657106399536,85.37274096385542,71.60199952392287,0.3736139624547887,1.2282379305723943
12,52.5406379699707,90.50734186746988,74.60128540823614,0.22781769979565616,1.3497720631686123
13,52.51523208618164,93.4582078313253,75.00595096405618,0.1582869806001524,1.3001232020782703
14,54.286354064941406,95.703125,75.31540109497739,0.10887379304461002,1.429025289235693
15,52.24269700050354,96.51731927710843,75.6248512258986,0.08882549031727376,1.4758874345006365
16,51.50053906440735,97.67507530120481,75.98190906926922,0.06039460571216285,1.4317193830555135
